User_Type,Weight_Profile,Model,k,HitRate,NDCG,unSerendipity,Train_Scenario,trainable
cold,None,w2v,18,0.0,0.0,0.8417169,2,True
cold,None,w2v,20,0.0,0.0,0.8416096,2,True
cold,None,w2v,30,0.0,0.0,0.8413076,2,True
cold,None,w2v,50,0.0,0.0,0.8407565,2,True
cold,None,bert,2,0.0,0.0,0.81674755,2,True
cold,None,bert,4,0.0,0.0,0.8166584,2,True
cold,None,bert,6,0.0,0.0,0.81678265,2,True
cold,None,bert,8,0.0,0.0,0.8167885,2,True
cold,None,bert,10,0.0,0.0,0.8166941,2,True
cold,None,bert,12,0.0,0.0,0.81652856,2,True
cold,None,bert,14,0.0,0.0,0.8164456,2,True
cold,None,bert,16,0.0,0.0,0.8164886,2,True
cold,None,bert,18,0.0,0.0,0.8163538,2,True
cold,None,bert,20,0.0,0.0,0.81626284,2,True
cold,None,bert,30,0.0,0.0,0.8161903,2,True
cold,None,bert,50,0.0,0.0,0.8153137,2,True
cold,None,minilm,2,0.0,0.0,0.81281304,2,True
cold,None,minilm,4,0.0,0.0,0.8127569,2,True
cold,None,minilm,6,0.0,0.0,0.8128196,2,True
cold,None,minilm,8,0.0,0.0,0.8128514,2,True
cold,None,minilm,10,0.0,0.0,0.81202483,2,True
cold,None,minilm,12,0.0,0.0,0.8115698,2,True
cold,None,minilm,14,0.0,0.0,0.81132275,2,True
cold,None,minilm,16,0.006622516556291391,0.0016202022656836162,0.8113871,2,True
cold,None,minilm,18,0.006622516556291391,0.0016202022656836162,0.81152946,2,True
cold,None,minilm,20,0.006622516556291391,0.0016202022656836162,0.811727,2,True
cold,None,minilm,30,0.006622516556291391,0.0016202022656836162,0.8114326,2,True
cold,None,minilm,50,0.013245033112582781,0.002933049041647593,0.81048036,2,True
cold,None,e5,2,0.0,0.0,0.61712134,2,True
cold,None,e5,4,0.0,0.0,0.6143517,2,True
cold,None,e5,6,0.0,0.0,0.6135911,2,True
cold,None,e5,8,0.0,0.0,0.61188525,2,True
cold,None,e5,10,0.0,0.0,0.61115086,2,True
cold,None,e5,12,0.0,0.0,0.6105678,2,True
cold,None,e5,14,0.0,0.0,0.60850185,2,True
cold,None,e5,16,0.0,0.0,0.60706466,2,True
cold,None,e5,18,0.0,0.0,0.6059181,2,True
cold,None,e5,20,0.0,0.0,0.6054032,2,True
cold,None,e5,30,0.0,0.0,0.6036658,2,True
cold,None,e5,50,0.0,0.0,0.59861666,2,True
