Model,Hidden_Dim,Layers,Heads,LR,Trainable,k,HitRate,NDCG,unSerendipity
bert_multi,512,1,2,0.0001,True,20,0.06951026856240126,0.03678385303715943,0.84267557
bert_multi,512,1,2,0.0001,False,10,0.03475513428120063,0.027497383112935033,0.7798584
bert_multi,512,1,2,0.0001,False,20,0.037914691943127965,0.028319244336358924,0.7801855
qwen,512,1,2,0.0001,True,10,0.052132701421800945,0.024755569470019854,0.8518352
qwen,512,1,2,0.0001,True,20,0.07424960505529225,0.030256950620136776,0.85094184
qwen,512,1,2,0.0001,False,10,0.04739336492890995,0.037736986927663654,0.3857919
qwen,512,1,2,0.0001,False,20,0.05845181674565561,0.040598828744894254,0.38402593
word2vec,512,1,2,1e-05,True,10,0.03317535545023697,0.018537858019770065,0.8695699
word2vec,512,1,2,1e-05,True,20,0.04897314375987362,0.02260683220971404,0.86912924
word2vec,512,1,2,1e-05,False,10,0.023696682464454975,0.016037442549173334,0.57978976
word2vec,512,1,2,1e-05,False,20,0.03475513428120063,0.018812399913015244,0.5823089
bert_multi,512,1,2,1e-05,True,10,0.045813586097946286,0.029995469386667584,0.7912899
bert_multi,512,1,2,1e-05,True,20,0.05687203791469194,0.03278571807661478,0.7908517
bert_multi,512,1,2,1e-05,False,10,0.02843601895734597,0.01810607213458296,0.7965892
bert_multi,512,1,2,1e-05,False,20,0.03949447077409163,0.02093806228975714,0.7963324
qwen,512,1,2,1e-05,True,10,0.04265402843601896,0.025756774429515038,0.8563551
qwen,512,1,2,1e-05,True,20,0.05529225908372828,0.02888466361316163,0.8559444
qwen,512,1,2,1e-05,False,10,0.053712480252764615,0.04165061865139649,0.44061098
qwen,512,1,2,1e-05,False,20,0.06951026856240126,0.045602045644917995,0.43851456
word2vec,512,1,3,0.0001,True,10,0.06003159557661927,0.0358341874365698,0.85552883
word2vec,512,1,3,0.0001,True,20,0.08056872037914692,0.040867137484559,0.8551314
word2vec,512,1,3,0.0001,False,10,0.02527646129541864,0.013831858417892808,0.7217097
word2vec,512,1,3,0.0001,False,20,0.03949447077409163,0.017396552187371128,0.73121554
bert_multi,512,1,3,0.0001,True,10,0.053712480252764615,0.03194846987004533,0.837459
bert_multi,512,1,3,0.0001,True,20,0.07582938388625593,0.03751906833294276,0.83675176
bert_multi,512,1,3,0.0001,False,10,0.037914691943127965,0.024322880457694398,0.8123183
bert_multi,512,1,3,0.0001,False,20,0.045813586097946286,0.026238744911606382,0.81738347
qwen,512,1,3,0.0001,True,10,0.04897314375987362,0.03328600433502394,0.8428674
qwen,512,1,3,0.0001,True,20,0.0679304897314376,0.038121023587694515,0.8427806
qwen,512,1,3,0.0001,False,10,0.05845181674565561,0.04536167602289967,0.38777024
qwen,512,1,3,0.0001,False,20,0.06951026856240126,0.048017553501978213,0.3859459
word2vec,512,1,3,1e-05,True,10,0.02843601895734597,0.017479153676762997,0.8770778
word2vec,512,1,3,1e-05,True,20,0.05845181674565561,0.02501409804954238,0.87688506
word2vec,512,1,3,1e-05,False,10,0.03317535545023697,0.020877153439980707,0.70208174
word2vec,512,1,3,1e-05,False,20,0.044233807266982623,0.023820320922114238,0.7097946
bert_multi,512,1,3,1e-05,True,10,0.044233807266982623,0.02820503565746415,0.7811495
bert_multi,512,1,3,1e-05,True,20,0.05845181674565561,0.0318024687552442,0.78043145
bert_multi,512,1,3,1e-05,False,10,0.03475513428120063,0.0282127521010502,0.8625277
bert_multi,512,1,3,1e-05,False,20,0.03949447077409163,0.029427215627462932,0.86251557
qwen,512,1,3,1e-05,True,10,0.05055292259083728,0.032289278767621415,0.86184454
